#              X                D                V                M
    0.0000237237     1.7500000000    -0.0000166044     0.0000000000
    0.0000239382     1.7500000000    -0.0000167545     0.0000000000
    0.0000241546     1.7500000000    -0.0000169059     0.0000000000
    0.0000243729     1.7500000000    -0.0000170587     0.0000000000
    0.0000245932     1.7500000000    -0.0000172129     0.0000000000
    0.0000248156     1.7500000000    -0.0000173685     0.0000000000
    0.0000250399     1.7500000000    -0.0000175255     0.0000000000
    0.0000252662     1.7500000000    -0.0000176839     0.0000000000
    0.0000254946     1.7500000000    -0.0000178437     0.0000000000
    0.0000257251     1.7500000000    -0.0000180050     0.0000000000
    0.0000259576     1.7500000000    -0.0000181677     0.0000000000
    0.0000261923     1.7500000000    -0.0000183320     0.0000000000
    0.0000264290     1.7500000000    -0.0000184977     0.0000000000
    0.0000266679     1.7500000000    -0.0000186648     0.0000000000
    0.0000269090     1.7500000000    -0.0000188336     0.0000000000
    0.0000271522     1.7500000000    -0.0000190038     0.0000000000
    0.0000273977     1.7500000000    -0.0000191756     0.0000000000
    0.0000276453     1.7500000000    -0.0000193489     0.0000000000
    0.0000278952     1.7500000000    -0.0000195238     0.0000000000
    0.0000281474     1.7500000000    -0.0000197002     0.0000000000
    0.0000284018     1.7500000000    -0.0000198783     0.0000000000
    0.0000286586     1.7500000000    -0.0000200580     0.0000000000
    0.0000289176     1.7500000000    -0.0000202393     0.0000000000
    0.0000291790     1.7500000000    -0.0000204222     0.0000000000
    0.0000294428     1.7500000000    -0.0000206068     0.0000000000
    0.0000297089     1.7500000000    -0.0000207931     0.0000000000
    0.0000299775     1.7500000000    -0.0000209810     0.0000000000
    0.0000302485     1.7500000000    -0.0000211707     0.0000000000
    0.0000305219     1.7500000000    -0.0000213620     0.0000000000
    0.0000307978     1.7500000000    -0.0000215551     0.0000000000
    0.0000310762     1.7500000001    -0.0000217499     0.0000000000
    0.0000313571     1.7500000001    -0.0000219465     0.0000000000
    0.0000316406     1.7500000001    -0.0000221449     0.0000000000
